iter	Passed	Remaining
0	56	5584
1	56	2775
2	56	1838
3	57	1369
4	57	1087
5	57	900
6	57	765
7	57	664
8	58	586
9	58	523
10	58	472
11	58	429
12	58	393
13	58	362
14	59	335
15	59	311
16	59	290
17	59	271
18	59	255
19	60	240
20	60	226
21	60	214
22	60	202
23	60	192
24	60	182
25	61	173
26	61	165
27	61	157
28	61	150
29	61	144
30	61	137
31	62	132
32	62	126
33	62	121
34	62	116
35	62	111
36	62	107
37	63	103
38	63	98
39	63	95
40	63	91
41	63	88
42	63	84
43	64	81
44	64	78
45	65	76
46	65	73
47	65	70
48	65	68
49	65	65
50	66	63
51	66	61
52	66	59
53	66	56
54	67	54
55	67	52
56	67	50
57	67	48
58	67	47
59	68	45
60	68	43
61	68	42
62	68	40
63	69	38
64	69	37
65	69	35
66	69	34
67	69	32
68	69	31
69	70	30
70	70	28
71	70	27
72	70	26
73	71	25
74	71	23
75	71	22
76	71	21
77	71	20
78	71	19
79	72	18
80	72	16
81	72	15
82	72	14
83	72	13
84	72	12
85	73	11
86	73	10
87	73	10
88	73	9
89	73	8
90	73	7
91	73	6
92	74	5
93	74	4
94	74	3
95	74	3
96	75	2
97	75	1
98	75	0
99	75	0
