iter	Passed	Remaining
0	60	60158
1	60	30337
2	61	20352
3	61	15329
4	61	12312
5	62	10300
6	62	8861
7	62	7778
8	63	6954
9	63	6293
10	63	5753
11	64	5305
12	64	4931
13	65	4594
14	65	4304
15	65	4050
16	66	3823
17	66	3625
18	66	3443
19	67	3283
20	67	3138
21	67	3003
22	67	2881
23	68	2770
24	68	2667
25	68	2573
26	68	2484
27	69	2402
28	69	2327
29	69	2256
30	70	2188
31	70	2125
32	70	2066
33	70	2009
34	71	1958
35	71	1908
36	71	1864
37	71	1820
38	72	1778
39	72	1742
40	72	1703
41	73	1667
42	73	1634
43	73	1603
44	74	1575
45	74	1547
46	75	1522
47	75	1496
48	75	1471
49	76	1448
50	76	1426
51	77	1405
52	77	1382
53	77	1361
54	78	1340
55	78	1322
56	78	1302
57	79	1286
58	79	1270
59	80	1255
60	80	1240
61	81	1225
62	81	1210
63	81	1194
64	82	1182
65	83	1175
66	83	1161
67	83	1147
68	84	1133
69	84	1120
70	84	1107
71	84	1095
72	85	1082
73	85	1071
74	86	1061
75	86	1051
76	86	1039
77	87	1029
78	87	1022
79	88	1013
80	88	1006
81	89	1001
82	89	989
83	89	980
84	90	971
85	90	964
86	91	955
87	91	948
88	91	939
89	92	931
90	92	922
91	92	913
92	93	907
93	93	899
94	93	891
95	93	883
96	94	875
97	94	868
98	94	860
99	94	853
100	95	846
101	95	839
102	95	832
103	96	827
104	96	822
105	96	816
106	97	809
107	97	804
108	97	798
109	97	792
110	98	786
111	98	782
112	99	778
113	99	772
114	99	767
115	100	764
116	100	758
117	100	753
118	101	747
119	101	742
120	101	737
121	101	732
122	102	727
123	102	722
124	102	718
125	102	713
126	103	708
127	103	704
128	103	701
129	104	697
130	104	694
131	105	691
132	105	687
133	105	683
134	106	679
135	106	676
136	106	672
137	107	668
138	107	665
139	107	662
140	108	660
141	108	656
142	108	653
143	109	649
144	109	646
145	109	642
146	110	639
147	110	636
148	110	633
149	111	630
150	111	627
151	111	624
152	112	621
153	112	618
154	112	614
155	113	611
156	113	608
157	113	605
158	113	602
159	114	599
160	114	595
161	114	592
162	114	589
163	114	586
164	115	583
165	115	580
166	115	577
167	115	574
168	116	571
169	116	568
170	116	567
171	117	565
172	117	563
173	119	565
174	120	565
175	120	563
176	120	561
177	121	559
178	121	556
179	121	555
180	122	553
181	122	551
182	123	549
183	123	546
184	123	544
185	123	542
186	124	539
187	124	537
188	124	536
189	125	534
190	125	533
191	126	531
192	126	528
193	126	526
194	127	526
195	128	525
196	128	524
197	129	523
198	129	522
199	130	520
200	130	517
201	130	516
202	130	514
203	131	512
204	131	510
205	132	509
206	132	507
207	132	505
208	132	502
209	134	504
210	135	504
211	135	503
212	135	502
213	136	501
214	137	501
215	137	500
216	138	498
217	138	498
218	139	498
219	140	497
220	140	495
221	140	493
222	141	492
223	141	491
224	142	489
225	142	487
226	142	485
227	142	484
228	143	482
229	143	480
230	143	478
231	144	476
232	144	475
233	144	473
234	144	471
235	145	470
236	145	468
237	146	467
238	146	465
239	146	464
240	146	462
241	147	461
242	148	462
243	148	461
244	149	459
245	149	458
246	149	457
247	150	455
248	150	454
249	150	452
250	151	451
251	152	452
252	153	452
253	153	451
254	153	449
255	154	449
256	154	447
257	155	446
258	155	445
259	156	444
260	156	442
261	156	442
262	157	441
263	157	440
264	158	439
265	158	438
266	159	436
267	159	435
268	160	434
269	160	434
270	161	433
271	161	432
272	161	430
273	162	430
274	163	429
275	163	429
276	164	428
277	164	426
278	164	425
279	165	424
280	165	423
281	165	422
282	166	421
283	166	419
284	166	418
285	167	417
286	167	416
287	167	414
288	168	414
289	168	413
290	169	412
291	169	410
292	169	409
293	169	408
294	170	406
295	170	405
296	170	404
297	171	403
298	171	401
299	171	400
300	171	399
301	172	398
302	172	396
303	172	395
304	173	394
305	173	393
306	173	391
307	174	391
308	174	389
309	174	388
310	174	387
311	175	386
312	175	384
313	175	383
314	175	382
315	176	381
316	176	379
317	176	378
318	177	378
319	177	377
320	177	376
321	178	375
322	178	374
323	179	374
324	179	373
325	180	372
326	180	371
327	180	370
328	181	369
329	181	369
330	182	367
331	182	366
332	182	366
333	183	365
334	183	364
335	185	365
336	185	365
337	186	364
338	186	363
339	186	362
340	187	361
341	187	361
342	188	360
343	188	359
344	188	358
345	189	357
346	189	356
347	189	355
348	190	355
349	190	354
350	191	353
351	191	352
352	192	352
353	192	351
354	193	351
355	194	350
356	194	350
357	194	349
358	195	348
359	195	348
360	196	347
361	196	346
362	196	345
363	197	344
364	197	344
365	198	343
366	199	343
367	199	342
368	199	341
369	200	340
370	200	339
371	200	338
372	200	337
373	201	336
374	201	335
375	201	334
376	201	333
377	202	332
378	202	332
379	203	331
380	203	331
381	204	330
382	204	329
383	205	329
384	205	328
385	206	328
386	208	330
387	208	329
388	209	328
389	209	327
390	210	327
391	211	327
392	211	327
393	212	326
394	212	325
395	212	324
396	213	324
397	213	323
398	214	322
399	214	321
400	214	320
401	214	319
402	215	318
403	215	317
404	215	317
405	216	316
406	216	315
407	216	314
408	217	313
409	217	313
410	217	312
411	218	311
412	218	310
413	218	309
414	219	308
415	219	308
416	219	307
417	220	306
418	220	305
419	220	304
420	221	304
421	222	304
422	222	303
423	222	302
424	223	302
425	223	301
426	224	300
427	224	300
428	224	299
429	225	298
430	225	297
431	226	297
432	226	296
433	226	295
434	227	295
435	227	294
436	227	293
437	228	292
438	228	291
439	228	290
440	228	290
441	229	289
442	229	288
443	229	287
444	230	286
445	230	286
446	230	285
447	230	284
448	231	283
449	231	282
450	231	281
451	231	281
452	232	280
453	232	279
454	232	278
455	232	277
456	233	277
457	233	276
458	233	275
459	234	274
460	234	273
461	234	273
462	234	272
463	235	271
